prob,group,it,size,eax,eax.restart,lkh,lkh.restart,maos
1000-5-3,netgen,0,1000,4.82,4.68,121.6,60.98,9.92
1000-5-3,netgen,1,1000,5.23,4.81,68.17,80.16,10.07
1000-5-3,netgen,2,1000,4.56,4.68,52.72,540.89,3600
1000-5-3,netgen,3,1000,4.99,5.32,3600,36.21,10.05
1000-5-3,netgen,4,1000,5.63,5.27,7.54,14.64,10.34
1000-5-3,netgen,5,1000,4.91,5.3,29.06,34.1,9.84
1000-5-3,netgen,6,1000,5.22,5.09,3600,191.1,9.31
1000-5-3,netgen,7,1000,5.09,5.04,76.13,273.35,3600
1000-5-3,netgen,8,1000,5.79,4.87,3600,313.46,10.16
1000-5-3,netgen,9,1000,5.12,5.84,1089.27,150.78,3600
1000-5-30,netgen,0,1000,6.18,5.87,41.17,10.67,3600
1000-5-30,netgen,1,1000,5.34,5.56,20.86,21.44,10.76
1000-5-30,netgen,2,1000,6,5.39,46,15.37,9.43
1000-5-30,netgen,3,1000,5.85,4.98,42.91,44.65,10.12
1000-5-30,netgen,4,1000,4.96,5.33,14.22,15.58,9.61
1000-5-30,netgen,5,1000,4.4,4.63,12.54,6.06,9.89
1000-5-30,netgen,6,1000,5.06,5.02,26.59,33.7,9.66
1000-5-30,netgen,7,1000,4.91,5.25,53.6,16.86,8.95
1000-5-30,netgen,8,1000,5.16,4.86,22.77,22.54,9.28
1000-5-30,netgen,9,1000,5.05,4.88,33.25,78.8,9.99
1000-5-31,netgen,0,1000,5.25,5.59,119.31,15.06,10.04
1000-5-31,netgen,1,1000,5.58,5.13,159.13,116.18,3600
1000-5-31,netgen,2,1000,5.45,5.44,27.23,175.01,9.86
1000-5-31,netgen,3,1000,5.26,5.55,15.07,117.6,10.06
1000-5-31,netgen,4,1000,5.08,5.04,57.72,54.84,3600
1000-5-31,netgen,5,1000,5.29,5.27,147.52,172.22,9.9
1000-5-31,netgen,6,1000,5.75,5.55,12.77,348.36,10.17
1000-5-31,netgen,7,1000,6.42,5.21,238.94,176.96,9.71
1000-5-31,netgen,8,1000,5.67,5.34,87.87,317.39,9.93
1000-5-31,netgen,9,1000,5.63,5.18,20.78,65.05,10.44
1000-5-32,netgen,0,1000,5.09,5.77,1.77,9.97,8.57
1000-5-32,netgen,1,1000,5.61,5.06,1.89,1.87,9.95
1000-5-32,netgen,2,1000,4.76,4.64,12.82,31.58,3600
1000-5-32,netgen,3,1000,3600,12.68,8.75,21.41,9.41
1000-5-32,netgen,4,1000,4.99,4.93,50.04,5.04,9.22
1000-5-32,netgen,5,1000,5.34,5.18,77.79,23.76,10.35
1000-5-32,netgen,6,1000,6.17,4.76,4.86,2.28,9.34
1000-5-32,netgen,7,1000,5.04,6.12,2.54,2.49,3600
1000-5-32,netgen,8,1000,3600,11.62,41.97,32.16,9.05
1000-5-32,netgen,9,1000,5.3,4.89,8.18,3.62,9.4
1000-5-33,netgen,0,1000,6.24,5.42,4.54,2.88,10.65
1000-5-33,netgen,1,1000,5.89,5.62,3.48,7.96,13.19
1000-5-33,netgen,2,1000,5.67,5.51,5.82,14.38,12.33
1000-5-33,netgen,3,1000,5.72,5.65,3.96,4.75,11.13
1000-5-33,netgen,4,1000,5.71,9.44,9.09,9.33,11.27
1000-5-33,netgen,5,1000,5.45,5.53,26.64,24.6,11.3
1000-5-33,netgen,6,1000,6.38,6.32,14.71,2.86,3600
1000-5-33,netgen,7,1000,5.53,5.45,26.44,2.58,11.14
1000-5-33,netgen,8,1000,6.02,5.78,34.14,17.17,11.79
1000-5-33,netgen,9,1000,5.83,5.99,2.13,3.17,11.79
1000-5-34,netgen,0,1000,6.11,5.06,3600,1768.64,9.97
1000-5-34,netgen,1,1000,5.16,5.94,1101.3,152.09,10.05
1000-5-34,netgen,2,1000,5.72,5.81,2790.86,764.6,9.34
1000-5-34,netgen,3,1000,5.23,5.78,3191.53,943.04,9.59
1000-5-34,netgen,4,1000,5.46,5.77,11.26,868.76,10.16
1000-5-34,netgen,5,1000,5.73,6.06,425.96,124,10.97
1000-5-34,netgen,6,1000,4.73,4.97,2339.8,349.62,10.49
1000-5-34,netgen,7,1000,6.07,6.06,329.45,66.95,10.55
1000-5-34,netgen,8,1000,5.04,5.21,134.39,264.43,10.42
1000-5-34,netgen,9,1000,5.46,5.54,418.18,625.46,9.93
1000-5-35,netgen,0,1000,3600,12.44,3600,105.62,10.21
1000-5-35,netgen,1,1000,3600,12.27,24.34,360.42,10.04
1000-5-35,netgen,2,1000,3600,11.93,309.57,40.94,3600
1000-5-35,netgen,3,1000,6.33,5.92,82.18,469.26,10.37
1000-5-35,netgen,4,1000,5.19,5.23,3600,57.86,10.72
1000-5-35,netgen,5,1000,5.82,6.03,3600,247.83,10.31
1000-5-35,netgen,6,1000,3600,12.61,91.62,209.27,10.9
1000-5-35,netgen,7,1000,5.49,5,224.74,361.01,11.01
1000-5-35,netgen,8,1000,5.45,6.48,3600,648.55,3600
1000-5-35,netgen,9,1000,3600,13.94,3600,314.55,9.9
1000-5-36,netgen,0,1000,5,4.58,5.97,3.43,8.99
1000-5-36,netgen,1,1000,4.87,4.95,6.09,3.86,9.7
1000-5-36,netgen,2,1000,4.85,5.01,8.18,3.91,9.87
1000-5-36,netgen,3,1000,4.82,4.78,4.6,10.2,9.18
1000-5-36,netgen,4,1000,5.31,4.69,5.09,4.9,8.95
1000-5-36,netgen,5,1000,5.27,5.17,2.92,4.33,9.22
1000-5-36,netgen,6,1000,4.72,4.3,23.14,11.25,9.07
1000-5-36,netgen,7,1000,4.72,5.07,3.45,2.07,9.04
1000-5-36,netgen,8,1000,4.73,4.7,1.67,5.78,9.36
1000-5-36,netgen,9,1000,4.64,5.29,4.63,2.13,9.35
1000-5-37,netgen,0,1000,3600,19.12,15.87,23.27,9.56
1000-5-37,netgen,1,1000,3600,11.72,3.26,12.69,9.38
1000-5-37,netgen,2,1000,5.92,6.21,11.04,14.71,10.06
1000-5-37,netgen,3,1000,5.42,5.29,7.15,14.72,9.96
1000-5-37,netgen,4,1000,5.54,6.26,14.85,6.77,8.7
1000-5-37,netgen,5,1000,6.24,6.05,9.84,15.36,10.38
1000-5-37,netgen,6,1000,5.48,5.56,8.01,10.05,3600
1000-5-37,netgen,7,1000,5.86,5.58,7.38,11.68,9.43
1000-5-37,netgen,8,1000,4.93,4.76,5.82,7.04,9.4
1000-5-37,netgen,9,1000,3600,13.9,23.57,7.83,9.05
1000-5-38,netgen,0,1000,5.32,5.09,4.26,9.67,8.43
1000-5-38,netgen,1,1000,6.29,5.2,16.9,4.34,10.93
1000-5-38,netgen,2,1000,5.28,5.32,17.78,15.61,9.22
1000-5-38,netgen,3,1000,5.49,5.72,11.36,5.61,9.72
1000-5-38,netgen,4,1000,5.29,5.21,11.35,4.12,10.12
1000-5-38,netgen,5,1000,5.7,5.37,3.98,4.83,3600
1000-5-38,netgen,6,1000,5.3,5.04,5.65,21.43,9.41
1000-5-38,netgen,7,1000,5.71,5.08,4.35,9.1,3600
1000-5-38,netgen,8,1000,5.22,4.78,4.9,5.28,9.38
1000-5-38,netgen,9,1000,5.07,5.49,4.63,7.22,9.56
1000-5-39,netgen,0,1000,5.49,5.15,7.6,7.62,9.14
1000-5-39,netgen,1,1000,5.17,4.76,7.17,2.17,9.28
1000-5-39,netgen,2,1000,5.75,5.28,2.51,3.62,9.67
1000-5-39,netgen,3,1000,5.2,5.13,3.34,5.06,10.34
1000-5-39,netgen,4,1000,6.03,5.66,1.73,1.7,9.38
1000-5-39,netgen,5,1000,5.69,5.11,4.57,1.8,9.98
1000-5-39,netgen,6,1000,5.23,4.93,6.14,7.36,9.14
1000-5-39,netgen,7,1000,4.87,5.74,2.07,2.36,10.27
1000-5-39,netgen,8,1000,4.94,4.69,2.07,2.26,9.37
1000-5-39,netgen,9,1000,5.64,4.95,2.94,2.96,9.19
1000-5-4,netgen,0,1000,4.66,4.85,7.64,7.38,8.9
1000-5-4,netgen,1,1000,4.86,5.27,5.75,4.13,10.19
1000-5-4,netgen,2,1000,5.05,4.86,6.25,4.81,9.16
1000-5-4,netgen,3,1000,4.95,4.82,5.74,10.35,8.88
1000-5-4,netgen,4,1000,5.44,5.38,2.62,5.82,9.51
1000-5-4,netgen,5,1000,4.97,5.27,3.9,2.71,9.49
1000-5-4,netgen,6,1000,5.37,5.04,5.14,4.78,10.53
1000-5-4,netgen,7,1000,5.17,5.11,4.7,2.68,10.03
1000-5-4,netgen,8,1000,5.18,4.9,4.19,10.89,9.99
1000-5-4,netgen,9,1000,5.07,4.79,5.1,6.59,8.93
1000-5-40,netgen,0,1000,5.68,5.3,1.86,1.59,10.08
1000-5-40,netgen,1,1000,7.77,5.84,1.6,1.7,10.9
1000-5-40,netgen,2,1000,5.46,5.06,1.43,1.57,10.03
1000-5-40,netgen,3,1000,5.74,4.95,1.76,1.58,9.69
1000-5-40,netgen,4,1000,5.69,5.12,1.91,1.83,11.42
1000-5-40,netgen,5,1000,5.49,4.91,2.51,1.84,9.53
1000-5-40,netgen,6,1000,4.87,5.05,3.33,1.9,9.29
1000-5-40,netgen,7,1000,5.48,5.03,1.36,1.54,9.43
1000-5-40,netgen,8,1000,5.32,5.49,1.72,1.72,10.06
1000-5-40,netgen,9,1000,5.46,5.03,3.1,2.24,10.31
1000-5-41,netgen,0,1000,5.68,4.92,40.09,37.7,3600
1000-5-41,netgen,1,1000,5.19,5.88,39.91,84.83,3600
1000-5-41,netgen,2,1000,5.08,5.02,13.34,24.88,3600
1000-5-41,netgen,3,1000,5.75,5.33,30.98,11.66,3600
1000-5-41,netgen,4,1000,6.06,5.62,12.33,38.73,3600
1000-5-41,netgen,5,1000,5.25,4.63,39.1,99.83,3600
1000-5-41,netgen,6,1000,5.63,5.51,9.96,34.47,3600
1000-5-41,netgen,7,1000,5.53,5.67,27.8,19.27,3600
1000-5-41,netgen,8,1000,5.06,5.45,23.02,25.67,11.13
1000-5-41,netgen,9,1000,4.86,4.88,14.68,6.9,3600
1000-5-42,netgen,0,1000,6.27,5.84,8.67,7.87,9.86
1000-5-42,netgen,1,1000,5.25,5.11,6.06,6.2,9.8
1000-5-42,netgen,2,1000,5.43,5.46,25.57,5.64,9.69
1000-5-42,netgen,3,1000,4.85,4.72,34,10.32,9.82
1000-5-42,netgen,4,1000,4.81,4.99,20.78,12.94,9.42
1000-5-42,netgen,5,1000,5.07,4.92,10.89,4.45,9.5
1000-5-42,netgen,6,1000,5.67,5.77,3.61,6.6,9.64
1000-5-42,netgen,7,1000,5.89,5.98,18.73,4.15,10.28
1000-5-42,netgen,8,1000,5.66,5.73,14.94,4.28,9.5
1000-5-42,netgen,9,1000,6.69,5.19,8.06,4.05,9.41
1000-5-43,netgen,0,1000,5.21,5.28,6.57,13.26,9.04
1000-5-43,netgen,1,1000,5.15,5,13.83,7.88,10.09
1000-5-43,netgen,2,1000,6.91,5.12,5.18,3.61,8.45
1000-5-43,netgen,3,1000,5.03,6.78,11.22,3.47,10.12
1000-5-43,netgen,4,1000,5.35,4.96,4.8,36.15,9.38
1000-5-43,netgen,5,1000,5.29,5.05,14.71,11.12,8.56
1000-5-43,netgen,6,1000,5.59,5.25,16.67,11.13,9.12
1000-5-43,netgen,7,1000,5.86,5.95,6.18,3.99,9.72
1000-5-43,netgen,8,1000,5.16,5.01,16.81,5.49,8.74
1000-5-43,netgen,9,1000,4.96,5.02,7.43,6,9.56
1000-5-44,netgen,0,1000,4.34,4.39,3.11,4.49,3600
1000-5-44,netgen,1,1000,4.71,4.7,5.26,3.2,3600
1000-5-44,netgen,2,1000,5.63,4.84,3.95,6.73,3600
1000-5-44,netgen,3,1000,3600,12.61,5.37,3.31,9.06
1000-5-44,netgen,4,1000,4.83,4.83,5.69,3.86,3600
1000-5-44,netgen,5,1000,5.49,4.65,2.36,2.22,3600
1000-5-44,netgen,6,1000,4.61,4.34,11.61,7.54,3600
1000-5-44,netgen,7,1000,5.35,4.75,8.77,8.2,9.3
1000-5-44,netgen,8,1000,4.85,5.05,4.87,6.21,9.8
1000-5-44,netgen,9,1000,3600,11.54,5.5,2.4,9.6
1000-5-45,netgen,0,1000,5.23,5.52,7.11,1.89,3600
1000-5-45,netgen,1,1000,5.24,4.68,5.25,5.39,9.31
1000-5-45,netgen,2,1000,5.24,5.82,2.9,3.49,9.43
1000-5-45,netgen,3,1000,5.28,4.69,3.25,3.16,10.61
1000-5-45,netgen,4,1000,5.27,4.98,2.28,3.43,9.06
1000-5-45,netgen,5,1000,5.22,5.25,4.66,1.76,9.9
1000-5-45,netgen,6,1000,5.19,4.94,5.41,3.48,9.22
1000-5-45,netgen,7,1000,5.2,4.69,24.75,2.9,9.69
1000-5-45,netgen,8,1000,6.34,5.03,5.96,5.2,9.64
1000-5-45,netgen,9,1000,5.12,5,2.21,3.89,9.43
1000-5-46,netgen,0,1000,4.98,5.48,5.88,8.73,9.3
1000-5-46,netgen,1,1000,4.75,4.79,8.38,3.4,9.13
1000-5-46,netgen,2,1000,6.15,4.98,4,9.66,10.81
1000-5-46,netgen,3,1000,4.97,4.9,3.15,3.9,10.4
1000-5-46,netgen,4,1000,5.09,4.88,12.13,5.68,8.76
1000-5-46,netgen,5,1000,5.1,6.3,19.54,10.21,9.84
1000-5-46,netgen,6,1000,5.12,4.7,4.79,24.41,9.66
1000-5-46,netgen,7,1000,4.86,4.93,16.2,14.02,10.82
1000-5-46,netgen,8,1000,4.86,4.61,10.22,39.87,10.22
1000-5-46,netgen,9,1000,4.78,4.9,4.02,3.49,9.77
1000-5-47,netgen,0,1000,3600,10.55,6.2,3.3,9.54
1000-5-47,netgen,1,1000,3600,11.33,3.6,3.22,8.89
1000-5-47,netgen,2,1000,5.63,4.67,1.77,8.16,8.81
1000-5-47,netgen,3,1000,4.52,5.22,3.89,2.37,8.95
1000-5-47,netgen,4,1000,4.64,4.83,25.51,3.55,9.24
1000-5-47,netgen,5,1000,4.73,5.29,2.98,9.74,8.37
1000-5-47,netgen,6,1000,4.62,4.75,3.68,8.82,8.33
1000-5-47,netgen,7,1000,4.84,5.16,2.5,3.53,8.63
1000-5-47,netgen,8,1000,4.56,4.73,5.79,11.78,11.04
1000-5-47,netgen,9,1000,5.06,4.65,3.03,8.08,9.57
1000-5-48,netgen,0,1000,4.72,5.17,22.97,23.92,8.51
1000-5-48,netgen,1,1000,5.11,4.27,6.09,34,10.37
1000-5-48,netgen,2,1000,4.76,4.64,3.84,15.67,8.72
1000-5-48,netgen,3,1000,4.44,4.45,5.33,15.65,9.55
1000-5-48,netgen,4,1000,4.64,4.63,13.67,13.71,9.12
1000-5-48,netgen,5,1000,4.84,4.91,12.39,17.53,8.95
1000-5-48,netgen,6,1000,4.46,5.03,7.59,13.28,8.75
1000-5-48,netgen,7,1000,5.24,4.84,10.96,6.93,9.12
1000-5-48,netgen,8,1000,5.25,5.24,20.35,16.32,9.09
1000-5-48,netgen,9,1000,5.24,5.17,15.45,8.47,8.75
1000-5-49,netgen,0,1000,4.78,5.38,110.45,30.2,3600
1000-5-49,netgen,1,1000,5.14,5.29,127.36,124.98,9.47
1000-5-49,netgen,2,1000,4.96,4.62,24.87,35.19,10.71
1000-5-49,netgen,3,1000,4.71,4.57,23.55,145.64,3600
1000-5-49,netgen,4,1000,5.17,4.6,13.46,33.76,9.6
1000-5-49,netgen,5,1000,5.04,5.15,44.44,36.72,9.96
1000-5-49,netgen,6,1000,5.11,5.34,44.67,18.19,3600
1000-5-49,netgen,7,1000,5.6,4.82,45.69,42.46,3600
1000-5-49,netgen,8,1000,5.69,5.3,60.22,41.21,9.24
1000-5-49,netgen,9,1000,5.04,5.07,24.99,33.19,3600
1000-5-5,netgen,0,1000,5.3,5.6,17.54,8.25,10.19
1000-5-5,netgen,1,1000,5.82,4.89,3.61,19.83,9.73
1000-5-5,netgen,2,1000,5.55,4.83,2.01,2.88,10.64
1000-5-5,netgen,3,1000,5.21,4.84,5.31,10.26,10.66
1000-5-5,netgen,4,1000,6.56,5.96,7.34,6.99,9.55
1000-5-5,netgen,5,1000,5.37,5.5,7.15,7.99,10.61
1000-5-5,netgen,6,1000,5.46,6.95,10.81,10.6,9.5
1000-5-5,netgen,7,1000,5.47,5.16,2.98,4.41,9.72
1000-5-5,netgen,8,1000,5.44,5.45,3.37,3.05,9.62
1000-5-5,netgen,9,1000,5.38,5.44,10.27,16.64,9.87
1000-5-50,netgen,0,1000,4.9,4.56,2.1,5.01,3600
1000-5-50,netgen,1,1000,4.86,5.31,5.26,4.21,9.75
1000-5-50,netgen,2,1000,4.8,7.02,2.96,3.62,9.18
1000-5-50,netgen,3,1000,4.83,5.05,20.84,9.93,9.67
1000-5-50,netgen,4,1000,5.09,4.64,8.36,6,3600
1000-5-50,netgen,5,1000,5.39,5.26,6.87,4.35,9.73
1000-5-50,netgen,6,1000,5.46,5,7.37,3.45,10.36
1000-5-50,netgen,7,1000,4.91,5.11,4.57,2.36,3600
1000-5-50,netgen,8,1000,3600,12.29,5.02,12.51,9.06
1000-5-50,netgen,9,1000,6.37,4.98,7.86,4.43,8.88
1000-5-6,netgen,0,1000,5.19,5.41,43.43,53.42,8.97
1000-5-6,netgen,1,1000,6.09,4.93,35.61,36.27,9.89
1000-5-6,netgen,2,1000,4.89,4.68,25.49,38.41,9.65
1000-5-6,netgen,3,1000,4.94,5.1,4.48,66.81,9.26
1000-5-6,netgen,4,1000,4.99,5.48,89.32,32.44,9.48
1000-5-6,netgen,5,1000,5,5.13,16.51,6.24,10.34
1000-5-6,netgen,6,1000,4.95,4.84,44.5,59.71,10.24
1000-5-6,netgen,7,1000,3600,11.33,17.16,20.06,9.24
1000-5-6,netgen,8,1000,4.75,5.44,74.52,16.67,9.84
1000-5-6,netgen,9,1000,3600,11.57,20.33,29.77,10.02
1000-5-7,netgen,0,1000,5.13,5.65,4.41,1.63,10.1
1000-5-7,netgen,1,1000,4.9,5.54,4.32,1.84,9.32
1000-5-7,netgen,2,1000,4.88,5.11,3.49,10.23,9.05
1000-5-7,netgen,3,1000,5.05,4.93,30.46,5.85,8.98
1000-5-7,netgen,4,1000,3600,21.39,10.49,8.04,9.24
1000-5-7,netgen,5,1000,5.21,5.59,8.03,8.11,9.55
1000-5-7,netgen,6,1000,5.12,4.96,23.89,12.88,9.6
1000-5-7,netgen,7,1000,5.85,5.1,4.9,20.33,9.89
1000-5-7,netgen,8,1000,3600,18.1,7.78,7.3,9.31
1000-5-7,netgen,9,1000,3600,18.77,5.96,26.38,9.56
1000-5-8,netgen,0,1000,5.01,5.26,52.95,50.44,11.41
1000-5-8,netgen,1,1000,5.21,5.1,36.48,18.78,9.62
1000-5-8,netgen,2,1000,5.18,5.26,24,29.84,11.57
1000-5-8,netgen,3,1000,5.04,5.41,22.18,6.19,10.47
1000-5-8,netgen,4,1000,5.02,4.96,29.38,24.73,10.68
1000-5-8,netgen,5,1000,5.03,5.4,298.31,133.82,3600
1000-5-8,netgen,6,1000,5.16,5.81,90.33,22.54,3600
1000-5-8,netgen,7,1000,5.39,5.16,66.27,19.89,10.27
1000-5-8,netgen,8,1000,4.96,6.4,20.28,20.2,11.3
1000-5-8,netgen,9,1000,5.86,5.29,43.5,22.31,9.89
1000-5-9,netgen,0,1000,7.98,6.9,5.98,6.23,9.12
1000-5-9,netgen,1,1000,8.17,6.35,9.15,18.22,9.9
1000-5-9,netgen,2,1000,6.46,6.21,6.29,5.09,9.41
1000-5-9,netgen,3,1000,6,5.8,7.79,16.43,9.99
1000-5-9,netgen,4,1000,5.86,5.77,13.12,14.11,3600
1000-5-9,netgen,5,1000,5.54,6,3.88,7.57,11.23
1000-5-9,netgen,6,1000,3600,14.6,12.89,10.87,10.34
1000-5-9,netgen,7,1000,3600,19.23,3.78,4.37,10.27
1000-5-9,netgen,8,1000,5.5,5.28,4.24,12.83,9.62
1000-5-9,netgen,9,1000,5.49,5.58,3.38,3.13,11.52
1500-10-1,netgen,0,1500,8.54,8.94,56.54,28.9,17.39
1500-10-1,netgen,1,1500,11.24,9.15,54.82,100.94,3600
1500-10-1,netgen,2,1500,11.29,9.1,133.78,212.91,3600
1500-10-1,netgen,3,1500,9.49,9.63,36.43,33.6,3600
1500-10-1,netgen,4,1500,11.78,9.76,33.6,27.51,3600
1500-10-1,netgen,5,1500,8.89,8.66,46.33,25.13,3600
1500-10-1,netgen,6,1500,9.25,9.6,44.13,17.29,3600
1500-10-1,netgen,7,1500,3600,20.04,19.05,166.22,3600
1500-10-1,netgen,8,1500,8.57,8.6,101.13,110.38,3600
1500-10-1,netgen,9,1500,10.12,9.24,117.61,141.68,3600
1500-10-10,netgen,0,1500,3600,22.02,158.24,47.26,3600
1500-10-10,netgen,1,1500,3600,37.64,28.1,23.72,18.6
1500-10-10,netgen,2,1500,11.62,11.19,41.46,168.9,3600
1500-10-10,netgen,3,1500,13.14,13.05,417.25,47.82,16.91
1500-10-10,netgen,4,1500,11.91,11.39,121.73,30.17,18.43
1500-10-10,netgen,5,1500,10.4,9.5,18.62,260.91,3600
1500-10-10,netgen,6,1500,11.2,9.67,339.58,29.57,3600
1500-10-10,netgen,7,1500,3600,26.55,49,31.6,22.41
1500-10-10,netgen,8,1500,3600,22.99,408.83,115.59,16.81
1500-10-10,netgen,9,1500,3600,50.65,17.76,262.46,16.47
1500-10-11,netgen,0,1500,8.47,9.37,14.04,97.74,14.54
1500-10-11,netgen,1,1500,9.29,8.4,17.42,31.28,15.34
1500-10-11,netgen,2,1500,8.29,8.51,39.17,50.92,15.39
1500-10-11,netgen,3,1500,8.64,9.18,59.27,103.28,15.12
1500-10-11,netgen,4,1500,8.89,8.68,10.66,16.74,14.98
1500-10-11,netgen,5,1500,8.85,9.36,19.91,9.43,16.23
1500-10-11,netgen,6,1500,8.57,8.3,13.84,19.36,16.02
1500-10-11,netgen,7,1500,9.54,8.37,34.21,12.09,16.24
1500-10-11,netgen,8,1500,9.19,9.03,357.49,90.13,15.5
1500-10-11,netgen,9,1500,9.51,9.19,10.35,26.78,14.94
1500-10-12,netgen,0,1500,9.18,8.38,159.77,27.41,14.99
1500-10-12,netgen,1,1500,9.25,9.6,76.36,18.69,16.85
1500-10-12,netgen,2,1500,9.04,8.14,16.98,11.29,15.48
1500-10-12,netgen,3,1500,9.61,10.6,12.35,6.94,17.31
1500-10-12,netgen,4,1500,10.13,8.86,44.52,20.43,15.29
1500-10-12,netgen,5,1500,9.74,9.7,71.45,7.23,15.56
1500-10-12,netgen,6,1500,9,8.88,10.31,21.51,14.81
1500-10-12,netgen,7,1500,9.03,8.48,29.25,9.39,15.93
1500-10-12,netgen,8,1500,3600,18.91,5.51,4.67,14.99
1500-10-12,netgen,9,1500,9.34,8.84,19.74,19.99,15.27
1500-10-13,netgen,0,1500,9.37,9.75,15.16,12.55,16.29
1500-10-13,netgen,1,1500,10.48,9.29,8.43,4.59,17.65
1500-10-13,netgen,2,1500,3600,49.54,6.65,46.24,16.49
1500-10-13,netgen,3,1500,9.73,9.42,79.38,68.33,15.53
1500-10-13,netgen,4,1500,3600,74.65,28.52,6.81,16.19
1500-10-13,netgen,5,1500,3600,21.53,37.94,37.44,16.42
1500-10-13,netgen,6,1500,3600,24.39,16.16,71.45,17.13
1500-10-13,netgen,7,1500,10.49,10.02,25.66,12.45,15.68
1500-10-13,netgen,8,1500,9.56,9.99,43.28,128.56,16.74
1500-10-13,netgen,9,1500,9.41,9.29,16.2,8.48,16.65
1500-10-14,netgen,0,1500,10.86,9.48,3600,3600,15.45
1500-10-14,netgen,1,1500,9.2,9.11,3600,3600,15.42
1500-10-14,netgen,2,1500,8.57,9.23,3600,3600,3600
1500-10-14,netgen,3,1500,8.91,9.28,2764.38,1569.51,3600
1500-10-14,netgen,4,1500,9.45,11.11,3600,3600,21.1
1500-10-14,netgen,5,1500,10.02,11.53,1158.39,3600,16.2
1500-10-14,netgen,6,1500,9.06,11.45,3600,3600,16.39
1500-10-14,netgen,7,1500,11.16,9.23,3600,277.6,17.02
1500-10-14,netgen,8,1500,9.72,10.32,3600,3600,16.4
1500-10-14,netgen,9,1500,10.19,9.33,3600,1334.93,18.4
1500-10-15,netgen,0,1500,3600,22.73,9.13,9.65,16.09
1500-10-15,netgen,1,1500,3600,22.97,55,10.48,16.29
1500-10-15,netgen,2,1500,8.78,8.88,25.57,19.45,18.43
1500-10-15,netgen,3,1500,8.45,8.1,10.78,23.09,15.92
1500-10-15,netgen,4,1500,9.45,10.47,12.6,16.61,18.62
1500-10-15,netgen,5,1500,9.78,9.16,17.67,26.66,16.45
1500-10-15,netgen,6,1500,8.78,9.61,17.03,6,16.31
1500-10-15,netgen,7,1500,9.95,8.86,15.49,23.82,16.76
1500-10-15,netgen,8,1500,8.63,8.9,43.72,82.07,15.75
1500-10-15,netgen,9,1500,3600,20.45,14.56,26.71,17.84
1500-10-16,netgen,0,1500,9.55,9.2,42.89,125.85,15.83
1500-10-16,netgen,1,1500,11.15,9.59,143.21,59.83,17.15
1500-10-16,netgen,2,1500,9.89,10.37,15.7,7.68,17.7
1500-10-16,netgen,3,1500,9.73,9.51,275.38,186.51,18.17
1500-10-16,netgen,4,1500,11.57,10.45,57.73,56.1,3600
1500-10-16,netgen,5,1500,3600,20.12,244.11,20.14,3600
1500-10-16,netgen,6,1500,10.72,10.25,228.34,136.25,16.4
1500-10-16,netgen,7,1500,9.2,8.91,276.78,53.01,3600
1500-10-16,netgen,8,1500,9.94,10.38,232.96,98.87,15.96
1500-10-16,netgen,9,1500,9.82,9.75,56.41,142.01,3600
1500-10-17,netgen,0,1500,8.7,9.78,41.37,69.27,3600
1500-10-17,netgen,1,1500,9.04,8.26,65.76,60.36,3600
1500-10-17,netgen,2,1500,8.51,9.81,33.82,52.5,3600
1500-10-17,netgen,3,1500,8.79,8.99,56.93,108.61,3600
1500-10-17,netgen,4,1500,8.61,8.37,57.9,34.05,16.64
1500-10-17,netgen,5,1500,9.08,10.05,36.64,108.17,3600
1500-10-17,netgen,6,1500,9.08,11.95,76.14,43.28,3600
1500-10-17,netgen,7,1500,10.17,9.56,49.65,42.59,3600
1500-10-17,netgen,8,1500,9.38,9.71,55.52,75.04,3600
1500-10-17,netgen,9,1500,8.75,11.06,60.53,15.57,3600
1500-10-18,netgen,0,1500,9.36,9.35,7.91,56.64,16.72
1500-10-18,netgen,1,1500,9.64,9.52,46.2,21.11,16.26
1500-10-18,netgen,2,1500,10.47,8.22,28.88,15.12,17.71
1500-10-18,netgen,3,1500,8.89,9.05,14.74,29.21,16.25
1500-10-18,netgen,4,1500,8.78,10.35,10.49,6.69,18.77
1500-10-18,netgen,5,1500,10.12,10.85,42.28,5.45,17.46
1500-10-18,netgen,6,1500,9.45,11.31,12.16,18.8,16.89
1500-10-18,netgen,7,1500,9.05,9.06,13.14,24.32,15.71
1500-10-18,netgen,8,1500,8.73,11.34,11.55,20.55,16.29
1500-10-18,netgen,9,1500,9.06,8.81,5.17,6.66,16.03
1500-10-19,netgen,0,1500,9.54,10.93,6.7,10.53,17.2
1500-10-19,netgen,1,1500,9.8,8.88,6.58,4.45,16.18
1500-10-19,netgen,2,1500,9.01,8.67,5.77,5.25,16.29
1500-10-19,netgen,3,1500,9.33,8.65,7.16,5.81,15.87
1500-10-19,netgen,4,1500,12.73,9.14,6.56,7.26,15.64
1500-10-19,netgen,5,1500,10.09,10.93,5.9,9.34,16.24
1500-10-19,netgen,6,1500,9.96,9.36,5.76,7.33,15.52
1500-10-19,netgen,7,1500,10.29,10.5,8.52,8.47,15.61
1500-10-19,netgen,8,1500,9.6,9.58,8.05,6.57,3600
1500-10-19,netgen,9,1500,9.31,8.31,30.37,11.27,15.87
1500-10-2,netgen,0,1500,3600,71.77,121.71,36.55,3600
1500-10-2,netgen,1,1500,3600,111.67,29.1,23.19,3600
